$\lambda_M$,$M_\mathrm{min}$,$M_\mathrm{max}$,$\lambda_\mu$,$\mu_\mathrm{min}$,$\mu_\mathrm{max}$,$\mu_a$,$\sigma_a$,$R$
1.0,0.061105722599418044,0.2810378273520854,0.10317652764306498,0.2931619786614937,0.6886517943743938,0.74139185257032,0.5310378273520854,1.0
1.0,0.39440350069092583,0.44610778443113774,0.0,0.5867111929986182,0.7498848456932289,0.7396361123906035,0.5428374021188392,1.0
1.0,0.1670050219040496,0.39437974142536597,0.0,0.912490650710546,0.9201837803184101,0.5846778501976707,0.13794208782989636,1.0
0.6264833744565856,0.7229467747620726,0.04359064739748561,0.00011749500646222535,0.07155445893549524,0.3545999295029961,0.2331100928210551,0.6873457878040183,1.0
1.0,0.8362196020633751,0.6106300663227708,0.00018422991893883567,0.7632645541635962,0.5157516580692705,0.3843036109064112,0.3595246868091378,1.0
0.2103278516811564,0.038650885094794175,0.4407667330051325,0.0,0.869068817429559,0.12035194301874935,0.6743479627107992,0.2813449251073636,1.0
0.9338087809226655,0.40182750167149545,0.2044796077557388,0.00011143302874972142,0.9618899041675952,0.06741698239358146,0.0754401604635614,0.718408736349454,1.0
1.0,0.4315282791817088,0.5129963898916967,0.1512635379061372,0.009867629362214199,0.4365824308062575,0.28495788206979544,0.6812274368231047,1.0
0.9995829858215179,0.9310884070058382,0.8695788156797332,0.0,0.8694745621351125,0.02053794829024187,0.6550250208507089,0.9440158465387823,1.0
1.0,0.9723416183890862,0.4159970099046907,0.014296393197533171,0.0007475238273219959,0.9588861894972902,0.7526630536348347,0.06634273967482714,1.0
1.0,0.22547935103244837,0.481655604719764,0.003595132743362832,0.25534660766961653,0.7169985250737463,0.16297935103244837,0.8754609144542773,1.0
0.2969181939182963,0.24828504146616157,0.43391010545715164,0.0,0.009726630490426947,0.36899764513156547,0.023241527592914916,0.47568342377393263,1.0
0.8348790107664428,0.5432256689052339,0.19198379703656326,0.0,0.007781686387378744,0.21874000639590663,0.1604306577123974,0.7335038908431937,1.0
0.9908981796359272,0.3050610122024405,0.8572714542908582,0.0,0.6833366673334667,0.8516703340668134,0.14862972594518903,0.6847369473894779,1.0
1.0,0.947273166023166,0.021597490347490346,0.0028957528957528956,0.799831081081081,0.7892133204633205,0.1451496138996139,0.7300916988416989,1.0
0.07699711260827719,0.9393647738209817,0.5426157630199978,0.014650839482408298,0.6236766121270453,0.19292054325740562,0.08170249171211635,0.625494599508074,1.0
